question,gold,prop,kside,knows,A_cb,ctx_id,ctx_title,s_wiki_title,orig_gold,ctx_label,ctx_text,answer_surface,ans_start,ans_end,wrong_answer
Who was the director of The Crocodile's Dilemma?,"[""Adam Bernstein""]",director,K−,False,The director of The Crocodile's Dilemma was Prakash Jha.,18062129,The Crocodile's Dilemma,The Crocodile's Dilemma,Adam Bernstein,C+,"The Crocodile's Dilemma """"The Crocodile's Dilemma"""" is the pilot episode and series premiere of the FX anthology series """"Fargo"""". The episode aired on April 15, 2014 in the United States on FX. It was written by series creator and showrunner Noah Hawley and directed by Adam Bernstein. The title refers to the paradox in logic known as the crocodile dilemma. In the episode, a strange man named Lorne Malvo (Billy Bob Thornton) arrives in Bemidji, Minnesota. Living their daily lives, the town's inhabitants, including zealous police Deputy Molly Solverson (Allison Tolman), police officer and single father Gus Grimly (Colin Hanks),",Adam Bernstein,271,285,
Who was the composer of Do It Again?,"[""George Gershwin"", ""Jacob Gershvin"", ""Jacob Bruskin Gershowitz"", ""George Jacob Gershwin"", ""Dzhordzh Gershvin""]",composer,K−,False,"The composer of ""Do It Again"" is Steely Dan.",15018054,Do It Again (George Gershwin and Buddy DeSylva song),Do It Again (George Gershwin and Buddy DeSylva song),George Gershwin,C+,"Do It Again (George Gershwin and Buddy DeSylva song) """"Do It Again"""" is an American popular song by composer George Gershwin and lyricist Buddy DeSylva. The song premiered in the 1922 Broadway show """"The French Doll"""", as performed by actress Irène Bordoni. Gershwin recounted the origin of the song in 1934: Gershwin began playing the song, at parties. Upon hearing the song, Irène Bordoni insisted that she perform the song in her show. """"Do It Again"""" first appeared in the Broadway play """"The French Doll"""", which premiered on February 20, 1922 at the Lyceum and ran for a total of",George Gershwin,13,28,
What is the religion of Robert J. Fox?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion,K−,False,I don't have information on Robert J. Fox's religion.,18783865,Robert J. Fox (pastor),Robert J. Fox,Catholic Church,C+,"Robert J. Fox (pastor) Robert J. Fox (1930 – April 27, 1984) was an associate pastor of St. Paul's Church in East Harlem and former coordinator of the Spanish Community Action program in the Roman Catholic Archdiocese of New York. Robert J. Fox was responsible for conceiving Summer in the City (city program), a New York City antipoverty program with efforts concentrated in the South Bronx, East Harlem, and Lower East Side. The project was funded by the federal Office of Economic Opportunity and in 1967 ran a total of 26 storefront centers and employed 580 workers. The """"spirit"""" of",Catholic Church,99,105,
Who is the father of Mary of Waltham?,"[""Edward III of England"", ""Edward of Windsor"", ""Edward III"", ""King of England Edward III""]",father,K−,False,John of Gaunt,8562240,Mary of Waltham,Mary of Waltham,Edward III of England,C+,"Mary of Waltham Mary of Waltham (10 October 1344 – September 1361) Duchess Consort of Brittany, was a daughter of King Edward III of England and Philippa of Hainault and was the wife of John IV, Duke of Brittany, known in England as """"John V"""" and """"The Conqueror"""". When Mary was born at Bishop's Waltham Palace, Hampshire on 10 October 1344, her future husband was already living with her brothers and sisters in the royal nursery. This was as a result of her father's moves to create alliances in support of his renewed claim to the French throne. Seven years",Edward III of England,119,140,
Who is the father of Gao Wei?,"[""Emperor Wucheng of Northern Qi"", ""Gao Zhan""]",father,K−,False,Gao Huan,9423236,Gao Wei,Gao Wei,Emperor Wucheng of Northern Qi,C+,"while trying to flee to Chen Dynasty, and later that year, the Northern Zhou emperor executed him and almost all members of his clan. Gao Wei was born in 557, when his father Gao Zhan was the Prince of Changguang under Emperor Wenxuan, Gao Zhan's older brother. Gao Wei's mother was Gao Zhan's wife Princess Hu, and he was her first son, but not his father Gao Zhan's first son—as Gao Zhan's concubine Lady Li also gave birth several hours earlier on the same day Princess Hu did, to Gao Chuo (高綽). However, as Princess Hu was his wife, Gao",Emperor Wucheng of Northern Qi,175,183,
Who was the producer of RV?,"[""Douglas Wick""]",producer,K−,False,Mani Ratnam,7116477,RV (film),RV (film),Douglas Wick,C+,"RV (film) RV (also known as Runaway Vacation) is a 2006 American family comedy film directed by Barry Sonnenfeld, produced by Lucy Fisher and Douglas Wick, written by Geoff Rodkey, and starring Robin Williams, Cheryl Hines, Joanna """"JoJo"""" Levesque, Josh Hutcherson, Kristin Chenoweth, and Jeff Daniels. Bob Munro and his dysfunctional family rent an RV for a road trip to the Colorado Rockies, where they ultimately have to contend with a bizarre community of campers. It was released on April 28, 2006, in North America, and was released on DVD and Blu-ray Disc on August 15, 2006. Robert 'Bob' Munro",Douglas Wick,142,154,
Who was the producer of The Holy Girl?,"[""Lita Stantic""]",producer,K−,False,Lucrecia Martel was the producer of The Holy Girl.,9679777,The Holy Girl,The Holy Girl,Lita Stantic,C+,"The Holy Girl The Holy Girl () is a 2004 Argentinian drama film directed by Lucrecia Martel. The picture was executively produced by Pedro Almodóvar, Agustín Almodóvar, and Esther García. It was produced by Lita Stantic. The film features Mercedes Morán, María Alche, Carlos Belloso, Alejandro Urdapilleta, Julieta Zylberberg, among others. The film takes place in the small town of La Ciénaga, at the """"Hotel Termas,"""" a dilapidated Argentine hotel, during a medical conference. Two young teenage girls, Amalia (María Alché) and her best friend Josefina (Julieta Zylberberg), begin to explore their new sexuality and, at the same time, have",Lita Stantic,207,219,
Who was the composer of 1984?,"[""Lorin Maazel"", ""Lorin Varencove Maazel""]",composer,K−,False,George Orwell,5482197,1984 (opera),1984 (opera),Lorin Maazel,C+,"1984 (opera) 1984 is an opera by the American conductor and composer Lorin Maazel, with a libretto by J. D. McClatchy and Thomas Meehan. The opera is based on George Orwell's novel, """"Nineteen Eighty-Four."""" It premiered on 3 May 2005 at the Royal Opera House, Covent Garden in a production directed by Robert Lepage. """"1984"""" was the first opera composed by Maazel, following a conducting career that spanned more than 50 years; he was 75 years old when his work had its premiere. The opera was originally commissioned by August Everding, the director of the Bavarian State Opera, and Maazel",Lorin Maazel,69,81,
Who was the producer of The Economics of Happiness?,"[""Helena Norberg-Hodge""]",producer,K−,False,Roko Belic was the producer of The Economics of Happiness.,14938992,The Economics of Happiness,The Economics of Happiness,Helena Norberg-Hodge,C+,"The Economics of Happiness The Economics of Happiness is a 2011 documentary film directed by Helena Norberg-Hodge, Steven Gorelick, and John Page, and produced by Local Futures (formerly the International Society for Ecology and Culture). The film features many voices from six continents calling for systemic economic change. The documentary describes a world moving simultaneously in two opposing directions. While government and big business continue to promote globalization and the consolidation of corporate power, people around the world are resisting those policies and working to forge a very different future. Communities are coming together to re-build more human scale, ecological",Helena Norberg-Hodge,93,113,
What is the religion of Francesco Bonifacio?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]",religion,K−,False,I don't have information on Francesco Bonifacio's religion.,12787857,Francesco Bonifacio,Francesco Bonifacio,Catholic Church,C+,"trained in the use of misinformation, propaganda and false accusations. He travelled to Triests to consult with his bishop who advised him to be cautious and to limit his activities to within the church, avoiding any public stance. Monsignor Santin also urged him to remain """"true to [his] duties without being intimidated by anyone"""". Don Francesco was accused of being a “Subversive and an anti-communist”. He answered these false accusations by holding Action’s meeting in the Church, with the doors wide open, so that everyone could observe what was said. A few days before his death, Don Francesco, had been",Catholic Church,196,202,
Who is the father of Bridget Bendish?,"[""Henry Ireton"", ""Lieut. Gen. Henry Ireton""]",father,K−,False,I don't have information on who the father of Bridget Bendish is. Can I help you with something else?,13967223,Bridget Bendish,Bridget Bendish,Henry Ireton,C+,"Bridget Bendish Bridget Bendish (née Ireton) (1650–1726), was a daughter of General Henry Ireton and Bridget, Oliver Cromwell's eldest daughter. She was born in Attenborough, Nottinghamshire, England. She married Thomas Bendish in 1670. Bridget died early in 1726 at age 76 and was buried in Great Yarmouth. In 1652, her mother, also named Bridget Ireton (born July 1624), married General Charles Fleetwood after being widowed by the death of Henry Ireton. In 1662, her mother died; and Bridget lived with her stepfather at Stoke Newington, Middlesex, until she was 19. On 24 August 1669 a license was granted for her",Henry Ireton,84,96,
In what country is Ig?,"[""Slovenia"", ""Slovenija"", ""Republika Slovenija"", ""si"", ""🇸🇮"", ""svn"", ""slo"", ""Republic of Slovenia"", ""SLO""]",country,K−,False,Ireland (Ig is the abbreviation for Ireland),7220593,"Ig, Ig","Ig, Ig",Slovenia,C+,"Ig, Ig Ig (; formerly """"Studenec"""", ) is the largest settlement and the seat of the Municipality of Ig, central Slovenia. The name """"Ig"""" was first attested in 1249 as """"Yge"""" (and as """"Ighe"""", """"Iglem"""", and """"Iglom"""" in 1261, """"Yg"""" in 1262, and """"Hyco"""" and """"Hyc"""" in 1299). During the Middle Ages, """"Ig"""" was a regional name, and the settlement now known as Ig was called """"Studenec"""" until the beginning of the 19th century. The etymology of the name """"Ig"""" is unclear. It may be connected with the Slovene common noun """"igo"""" 'yoke' (in reference to the course of the",Slovenia,112,120,
